"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Category","UniqueValue"
"160","Gemini Pro Vision","drop","P8",297,0.815356902356902,0.767676767676768,0.858585858585859,0.904167317782285,0.866666666666667,0.941187914854658,0.356875467204078,0.215686274509804,0.5,0.878923196799186,0.835905997983871,0.915679829584498,0.904167317782285,0.866666666666667,0.941187914854658,0.891163342994781,0.860591923289692,0.918408146943764,0.630521392493182,0.564712033218618,0.705596177944862,"GENDER","Female"
"161","GPT-4 Vision","drop","P1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENDER",""
"162","GPT-4 Vision","drop","P2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENDER",""
"163","GPT-4 Vision","drop","P3",3,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,"GENDER",""
"164","GPT-4 Vision","drop","P4",4,0.75875,0.25,1,1,1,1,0,0,0,0.75875,0.25,1,1,1,1,0.847561675272519,0.4,1,0.5,0.5,0.5,"GENDER",""
"165","GPT-4 Vision","drop","P5",4,0.7415,0.25,1,1,1,1,0,0,0,0.7415,0.25,1,1,1,1,0.833964429145152,0.4,1,0.5,0.5,0.5,"GENDER",""
"166","GPT-4 Vision","drop","P6",4,0.748,0.25,1,1,1,1,0,0,0,0.748,0.25,1,1,1,1,0.840979208584842,0.4,1,0.5,0.5,0.5,"GENDER",""
"167","GPT-4 Vision","drop","P7",4,0.74875,0.25,1,1,1,1,0,0,0,0.74875,0.25,1,1,1,1,0.839156626506024,0.4,1,0.5,0.5,0.5,"GENDER",""
"168","GPT-4 Vision","drop","P8",4,0.74325,0.25,1,1,1,1,0,0,0,0.74325,0.25,1,1,1,1,0.83716771849302,0.4,1,0.5,0.5,0.5,"GENDER",""
"169","Gemini Pro Vision","drop","P1",4,0.4975,0,1,0.666416165664663,0,1,0,0,0,0.660063523905048,0,1,0.666416165664663,0,1,0.661115301453211,0.4,1,0.331803201506591,0,0.5,"GENDER",""
"170","Gemini Pro Vision","drop","P2",4,0.516,0,1,0.692069081153588,0,1,0,0,0,0.671691792294807,0,1,0.692069081153588,0,1,0.680810838135679,0.4,1,0.349033816425121,0,0.5,"GENDER",""
"171","Gemini Pro Vision","drop","P3",4,0.502,0,1,0.663654618473896,0,1,0,0,0,0.667001003009027,0,1,0.663654618473896,0,1,0.6704475781729,0.4,1,0.327534039334342,0,0.5,"GENDER",""
"172","Gemini Pro Vision","drop","P4",4,0.497,0,1,0.675301810865191,0,1,0,0,0,0.661072144288577,0,1,0.675301810865191,0,1,0.664391871398241,0.4,1,0.340409956076135,0,0.5,"GENDER",""
"173","Gemini Pro Vision","drop","P5",4,0.49875,0,1,0.67218875502008,0,1,0,0,0,0.669756179024716,0,1,0.67218875502008,0,1,0.663160538476994,0.4,1,0.340339233038348,0,0.5,"GENDER",""
"174","Gemini Pro Vision","drop","P6",4,0.50675,0,1,0.6785594639866,0,1,0,0,0,0.671189279731993,0,1,0.6785594639866,0,1,0.675620066208302,0.4,1,0.341239959839357,0,0.5,"GENDER",""
"175","Gemini Pro Vision","drop","P7",4,0.47975,0,1,0.642797319932998,0,1,0,0,0,0.65528781793842,0,1,0.642797319932998,0,1,0.65581610614008,0.4,1,0.32109980620155,0,0.5,"GENDER",""
"176","Gemini Pro Vision","drop","P8",4,0.50475,0,1,0.670090180360721,0,1,0,0,0,0.680499664654594,0,1,0.670090180360721,0,1,0.669178773204197,0.4,1,0.33843797856049,0,0.5,"GENDER",""
