FST,column,Accuracy_mean,Accuracy_lower,Accuracy_upper,Sensitivity_mean,Sensitivity_lower,Sensitivity_upper,Specificity_mean,Specificity_lower,Specificity_upper,Precision_mean,Precision_lower,Precision_upper,Recall_mean,Recall_lower,Recall_upper,F1_mean,F1_lower,F1_upper,Balanced.Accuracy_mean,Balanced.Accuracy_lower,Balanced.Accuracy_upper,Accuracy,Sensitivity,Specificity,Precision,Recall,F1,Balanced.Accuracy,Model
12,one_word_expert_simple,0.716007692307692,0.638461538461538,0.792307692307692,0.591821992054906,0.413742393509128,0.738191244239631,0.760172113587773,0.673684210526316,0.843152573529412,0.468306590815421,0.302325581395349,0.617021276595745,0.591821992054906,0.413742393509128,0.738191244239631,0.519677746879803,0.363636363636364,0.648648648648649,0.675997052821339,0.573554798430002,0.766805758469936,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
34,one_word_expert_simple,0.6258984375,0.546875,0.7033203125,0.452117297412441,0.297217806041335,0.609756097560976,0.710889591560116,0.615357142857143,0.797622391653291,0.433151048181607,0.279037467700258,0.577777777777778,0.452117297412441,0.297217806041335,0.609756097560976,0.43951491800928,0.298477208551835,0.565217391304348,0.581503444486278,0.493552631578947,0.671040495314592,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
56,one_word_expert_simple,0.62119387755102,0.530357142857143,0.704081632653061,0.344646390064823,0.166666666666667,0.55,0.70669078140974,0.605624536693847,0.807720588235294,0.265807358775271,0.124905303030303,0.421103238866397,0.344646390064823,0.166666666666667,0.55,0.295997447460222,0.149953703703704,0.452830188679245,0.525668585737281,0.422508445945946,0.635177364864865,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
12,one_word_standard_simple,0.660238461538462,0.576923076923077,0.738461538461539,0.588585300740187,0.416435185185185,0.756756756756757,0.685567139289367,0.594051670792079,0.776476299257567,0.399053662642692,0.260847826086957,0.533362068965517,0.588585300740187,0.416435185185185,0.756756756756757,0.472623644481335,0.333333333333333,0.59625,0.637076220014777,0.540492859075448,0.730005023640662,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
34,one_word_standard_simple,0.6020078125,0.515625,0.6875,0.595694108345795,0.435849056603774,0.744331395348837,0.605337654508901,0.5,0.714285714285714,0.422332881737205,0.29850091647028,0.550018115942029,0.595694108345795,0.435849056603774,0.744331395348837,0.49159126757316,0.372537619699042,0.600086206896552,0.600515881427348,0.511110188261351,0.689748042015664,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
56,one_word_standard_simple,0.520244897959184,0.418367346938776,0.622448979591837,0.60605571871332,0.4,0.8,0.494137155292776,0.385709982788296,0.607594936708861,0.269578716643335,0.15513925729443,0.4,0.60605571871332,0.4,0.8,0.369910965296404,0.228502304147465,0.505494505494505,0.550096437003048,0.433296734234234,0.659131493506494,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
12,one_word_expert_eng,0.544253846153846,0.453846153846154,0.623076923076923,0.639337513640133,0.454472140762463,0.8,0.510184302954557,0.409914835164835,0.60417239010989,0.317592476759116,0.210421888053467,0.426470588235294,0.639337513640133,0.454472140762463,0.8,0.421964389659083,0.295454545454545,0.534679985855728,0.574760908297345,0.472824817147501,0.6683170995671,NA,NA,NA,NA,NA,NA,NA,GPT-4 Turbo Vision
12,one_word_expert_eng,0.698623076923077,0.623076923076923,0.776923076923077,0.499563515765004,0.333333333333333,0.666666666666667,0.769065914412117,0.680851063829787,0.851063829787234,0.432657302595906,0.28125,0.586295313881521,0.499563515765004,0.333333333333333,0.666666666666667,0.460195810872287,0.323441176470588,0.597402597402597,0.63431471508856,0.544608516483516,0.735594706632653,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
34,one_word_expert_eng,0.5371171875,0.4453125,0.625,0.665802361973368,0.519837837837838,0.805555555555556,0.474521069594519,0.367816091954023,0.573209279506588,0.380746054082963,0.269216417910448,0.492753623188406,0.665802361973368,0.519837837837838,0.805555555555556,0.482298809317929,0.361904761904762,0.594605762787581,0.570161715783943,0.475663328606877,0.655870132897377,NA,NA,NA,NA,NA,NA,NA,GPT-4 Turbo Vision
34,one_word_expert_eng,0.7192265625,0.640625,0.796875,0.545907971065911,0.4,0.702142035652674,0.804515468117578,0.714244663382595,0.887534722222222,0.578243258029413,0.42219298245614,0.735294117647059,0.545907971065911,0.4,0.702142035652674,0.558426028042776,0.422535211267606,0.682926829268293,0.675211719591744,0.591425865800866,0.760474370956805,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
56,one_word_expert_eng,0.407214285714286,0.316326530612245,0.510204081632653,0.559648222918729,0.363545454545455,0.762087912087912,0.360352681872847,0.256681121419927,0.473732349165597,0.212626427228437,0.114285714285714,0.322059973924381,0.559648222918729,0.363545454545455,0.762087912087912,0.305633964262461,0.175,0.439095292115712,0.460000452395788,0.349873099233139,0.575399537320541,NA,NA,NA,NA,NA,NA,NA,GPT-4 Turbo Vision
56,one_word_expert_eng,0.611020408163265,0.510204081632653,0.704081632653061,0.478986285758228,0.285714285714286,0.666964285714285,0.651506672028271,0.54051386913229,0.753424657534247,0.297076161349368,0.161235337243402,0.441193570451436,0.478986285758228,0.285714285714286,0.666964285714285,0.362863020115742,0.21047149122807,0.509201474201474,0.56524647889325,0.448065419166144,0.676438245714978,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
