"","Model",".groups","PromptID","Size","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","skin_tone","Category"
"1","GPT-4 Vision","drop","P1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Overall","Overall"
"2","GPT-4 Vision","drop","P2",1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Overall","Overall"
"3","GPT-4 Vision","drop","P3",117,0.785076923076923,0.700854700854701,0.863247863247863,0.0459801683774605,0,0.160166666666667,0.948117494787318,0.898876404494382,0.98925017158545,0.159758585335316,0,0.571428571428571,0.0459801683774605,0,0.160166666666667,0.114283624729217,0.0571428571428571,0.25,0.497048831582389,0.456289051235221,0.558539205155747,"Overall","Overall"
"4","GPT-4 Vision","drop","P4",365,0.665895890410959,0.616438356164384,0.715068493150685,0.377075348272792,0.284204028589993,0.474381188118812,0.763900134637512,0.711453667105841,0.81413687056438,0.351733180648812,0.264705882352941,0.448633177570093,0.377075348272792,0.284204028589993,0.474381188118812,0.362816949088994,0.27805070549578,0.449369463135983,0.570487741455152,0.516554739444964,0.624896497790578,"Overall","Overall"
"5","GPT-4 Vision","drop","P5",232,0.757758620689655,0.702586206896552,0.810344827586207,0.0547115180940013,0,0.122448979591837,0.97702675437607,0.953488372093023,0.994623655913978,0.426244555362938,0,0.857142857142857,0.0547115180940013,0,0.122448979591837,0.10049698838184,0.0307692307692308,0.206896551724138,0.515869136235036,0.48738552317206,0.552843744883821,"Overall","Overall"
"6","GPT-4 Vision","drop","P6",120,0.69205,0.608333333333333,0.775,0.0567594699953671,0,0.148962765957447,0.94159029529589,0.8875,0.987955393000574,0.277290496268437,0,0.666666666666667,0.0567594699953671,0,0.148962765957447,0.108304269853213,0.0425531914893617,0.231661129568106,0.499174882645629,0.454733060004144,0.54789530107111,"Overall","Overall"
"7","GPT-4 Vision","drop","P7",478,0.604638075313808,0.560669456066946,0.646495815899582,0.520167799145568,0.433783025922233,0.606932471264368,0.63509075783985,0.58636907530337,0.68267492795389,0.339633613062687,0.27536231884058,0.405019927536232,0.520167799145568,0.433783025922233,0.606932471264368,0.410220255967989,0.343632404477561,0.479301461778097,0.577629278492709,0.526551963088377,0.627476477740573,"Overall","Overall"
"8","GPT-4 Vision","drop","P8",616,0.560943181818182,0.521103896103896,0.600649350649351,0.598783984310345,0.526286386356954,0.67456347333648,0.547480887273673,0.501052915766739,0.596039059918691,0.320681104283152,0.271843845702743,0.36935110495919,0.598783984310345,0.526286386356954,0.67456347333648,0.417159253630315,0.363636363636364,0.468453433737092,0.573132435792009,0.531879027253188,0.614651687357104,"Overall","Overall"
"9","Gemini Pro Vision","drop","P1",609,0.736995073891626,0.702791461412151,0.770114942528736,0.314227749197715,0.243045343137255,0.384615384615385,0.881930578917176,0.850211870873223,0.910482102079244,0.47724636158147,0.388339052561098,0.56883446779126,0.314227749197715,0.243045343137255,0.384615384615385,0.378063277731011,0.301576576576577,0.444444444444444,0.598079164057445,0.560147733594883,0.633830582696204,"Overall","Overall"
"10","Gemini Pro Vision","drop","P2",611,0.765939443535188,0.729950900163666,0.797094926350245,0.269816005794732,0.192042074790816,0.342291265781199,0.936457026617679,0.912162162162162,0.958346861471862,0.593289769506384,0.47140756302521,0.710875319459657,0.269816005794732,0.192042074790816,0.342291265781199,0.369897357977458,0.281814980793854,0.451334570368256,0.603136516206205,0.565098377145376,0.641429073003252,"Overall","Overall"
"11","Gemini Pro Vision","drop","P3",605,0.660720661157025,0.626446280991735,0.694214876033058,0.642163424996495,0.569763762143067,0.710699094775875,0.667169948485218,0.623868424876489,0.707207207207207,0.401340766007223,0.345374438932199,0.464003375527426,0.642163424996495,0.569763762143067,0.710699094775875,0.493336432916118,0.436638675789619,0.551255987348782,0.654666686740857,0.613059484038604,0.694201662989703,"Overall","Overall"
"12","Gemini Pro Vision","drop","P4",607,0.697835255354201,0.660626029654036,0.733113673805601,0.519073122977615,0.441843365253078,0.597560975609756,0.759968040681113,0.720235237340989,0.798672929455278,0.429409759835047,0.361256544502618,0.50277005728231,0.519073122977615,0.441843365253078,0.597560975609756,0.469291075707759,0.404980659005562,0.53083715787401,0.639520581829364,0.597260868666905,0.680626672400374,"Overall","Overall"
"13","Gemini Pro Vision","drop","P5",612,0.683859477124183,0.647058823529412,0.718954248366013,0.618509375417678,0.542450980392157,0.694267515923567,0.706471655019187,0.663604594330401,0.746652170699256,0.422423195400823,0.359082246229107,0.48640833692374,0.618509375417678,0.542450980392157,0.694267515923567,0.501355863550543,0.438879233511586,0.559813397129187,0.662490515218433,0.619811182941383,0.705822396529903,"Overall","Overall"
"14","Gemini Pro Vision","drop","P6",612,0.710233660130719,0.674795751633987,0.745098039215686,0.54769024386328,0.47239263803681,0.630928009270436,0.766370753446313,0.72664308835871,0.805938533301842,0.44730283498889,0.378226827864134,0.517775702901028,0.54769024386328,0.47239263803681,0.630928009270436,0.491632436152577,0.42773451570299,0.558407210401891,0.657030498654797,0.617158503007973,0.701155814463794,"Overall","Overall"
"15","Gemini Pro Vision","drop","P7",612,0.686490196078431,0.650285947712418,0.722222222222222,0.696868146991054,0.622516556291391,0.762857142857143,0.682896971396059,0.640964889574807,0.725584409061229,0.431726002037333,0.367035474216182,0.494429745068727,0.696868146991054,0.622516556291391,0.762857142857143,0.532492781296052,0.473662757437071,0.589384224938222,0.689882559193557,0.647332066460501,0.730105111854434,"Overall","Overall"
"16","Gemini Pro Vision","drop","P8",612,0.697570261437908,0.660089869281046,0.733660130718954,0.515009241847321,0.435106206438765,0.594418872266973,0.760280065614073,0.719124758220503,0.797424684835002,0.424729986697806,0.353591160220994,0.497621951219512,0.515009241847321,0.435106206438765,0.594418872266973,0.464845147451941,0.396257948499286,0.52959451231887,0.637644653730697,0.591490958671604,0.68192182827922,"Overall","Overall"
"17","GPT-4 Vision","drop","P1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I-II","skin_tone"
"18","GPT-4 Vision","drop","P2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I-II","skin_tone"
"19","GPT-4 Vision","drop","P3",35,0.827828571428571,0.714285714285714,0.942857142857143,0,0,0,0.96662505454507,0.896459359605911,1,0,0,0,0,0,0,NA,NA,NA,0.483365162861138,0.447860221674877,0.5,"I-II","skin_tone"
"20","GPT-4 Vision","drop","P4",118,0.64206779661017,0.550847457627119,0.728813559322034,0.357248478099757,0.187357954545455,0.545568181818182,0.731054500341682,0.632183908045977,0.814814814814815,0.292593448722407,0.153846153846154,0.457142857142857,0.357248478099757,0.187357954545455,0.545568181818182,0.318354980079365,0.173875562218891,0.47887323943662,0.544151489220719,0.446274350649351,0.645822303878404,"I-II","skin_tone"
"21","GPT-4 Vision","drop","P5",73,0.779917808219178,0.684931506849315,0.863013698630137,0,0,0,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0.5,0.5,0.5,"I-II","skin_tone"
"22","GPT-4 Vision","drop","P6",39,0.740333333333333,0.615384615384615,0.871794871794872,0,0,0,0.96674527788592,0.888888888888889,1,0,0,0,0,0,0,NA,NA,NA,0.48337263894296,0.444444444444444,0.5,"I-II","skin_tone"
"23","GPT-4 Vision","drop","P7",149,0.624020134228188,0.543624161073825,0.697986577181208,0.554648877554424,0.382352941176471,0.714285714285714,0.646346079119956,0.554619938884645,0.732675401160806,0.334033914783221,0.215678733031674,0.451686217008798,0.554648877554424,0.382352941176471,0.714285714285714,0.414283864999177,0.282602301790281,0.531914893617021,0.60049747833719,0.506901734241888,0.682827479719764,"I-II","skin_tone"
"24","GPT-4 Vision","drop","P8",201,0.5758407960199,0.502487562189055,0.641791044776119,0.706043466705396,0.574458234830575,0.826107859531773,0.534894636343219,0.452690867619212,0.613805418719212,0.322424993671866,0.232992546827498,0.412900294270382,0.706043466705396,0.574458234830575,0.826107859531773,0.441098836753389,0.335763871165331,0.536585365853659,0.620469051524307,0.542900252597663,0.692163820386925,"I-II","skin_tone"
"25","GPT-4 Vision","drop","P1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III-IV","skin_tone"
"26","GPT-4 Vision","drop","P2",1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III-IV","skin_tone"
"27","GPT-4 Vision","drop","P3",39,0.76848717948718,0.641025641025641,0.897435897435897,0,0,0,0.93805200931174,0.84375,1,0,0,0,0,0,0,NA,NA,NA,0.469033499694026,0.421875,0.5,"III-IV","skin_tone"
"28","GPT-4 Vision","drop","P4",133,0.691947368421053,0.609022556390977,0.774436090225564,0.407759949668391,0.243196644920783,0.575757575757576,0.801231598340554,0.712868653886665,0.883495145631068,0.441369160451959,0.266578947368421,0.619047619047619,0.407759949668391,0.243196644920783,0.575757575757576,0.420372056230435,0.258041474654378,0.562555147058823,0.604495774004472,0.512113571729513,0.698159907902555,"III-IV","skin_tone"
"29","GPT-4 Vision","drop","P5",72,0.778694444444444,0.680555555555556,0.875,0,0,0,0.982932904623667,0.94734492481203,1,0,0,0,0,0,0,NA,NA,NA,0.491466452311833,0.473672462406015,0.5,"III-IV","skin_tone"
"30","GPT-4 Vision","drop","P6",37,0.623567567567568,0.45945945945946,0.783783783783784,0.084404805007514,0,0.272727272727273,0.879829353922268,0.740700483091787,1,0.251689030987098,0,1,0.084404805007514,0,0.272727272727273,0.185109641217068,0.0952380952380952,0.374431818181817,0.482117079464891,0.391243961352657,0.59051724137931,"III-IV","skin_tone"
"31","GPT-4 Vision","drop","P7",168,0.612029761904762,0.529761904761905,0.68452380952381,0.435617474458744,0.297811895551257,0.588283510125362,0.68204532555919,0.594588220295768,0.76271186440678,0.352222267365137,0.230769230769231,0.482186059907834,0.435617474458744,0.297811895551257,0.588283510125362,0.387203750986737,0.269588014981273,0.512407289680017,0.558831400008967,0.476552763013196,0.643769874937154,"III-IV","skin_tone"
"32","GPT-4 Vision","drop","P8",225,0.605248888888889,0.537777777777778,0.666777777777778,0.582631193283347,0.466619718309859,0.70130354719907,0.615321861924883,0.534213764252317,0.69375318877551,0.400468391581799,0.307692307692308,0.5,0.582631193283347,0.466619718309859,0.70130354719907,0.473097451991237,0.381474520373063,0.56140350877193,0.598976527604115,0.526633040637125,0.664828875428816,"III-IV","skin_tone"
"33","GPT-4 Vision","drop","P1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V-VI","skin_tone"
"34","GPT-4 Vision","drop","P2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V-VI","skin_tone"
"35","GPT-4 Vision","drop","P3",43,0.764302325581395,0.627906976744186,0.883720930232558,0.109198340913472,0,0.375,0.940576584980128,0.848484848484849,1,0.328044028044028,0,1,0.109198340913472,0,0.375,0.243090632995472,0.117647058823529,0.5,0.5248874629468,0.437417763157895,0.660679824561403,"V-VI","skin_tone"
"36","GPT-4 Vision","drop","P4",114,0.658850877192982,0.570175438596491,0.745833333333333,0.358793874620775,0.18516081871345,0.535782967032967,0.756623274612717,0.662491554054054,0.844464285714286,0.324080006803106,0.166532258064516,0.486824324324324,0.358793874620775,0.18516081871345,0.535782967032967,0.336706684340729,0.17768115942029,0.486569222283508,0.557708574616746,0.462684446041286,0.656941287878788,"V-VI","skin_tone"
"37","GPT-4 Vision","drop","P5",87,0.725091954022989,0.631896551724138,0.816091954022989,0.123105871938096,0,0.269318181818182,0.953978433791427,0.897046146044625,1,0.502742295001814,0,1,0.123105871938096,0,0.269318181818182,0.202899741786831,0.0660215053763441,0.385359801488834,0.538542152864761,0.474126588021779,0.614826035108058,"V-VI","skin_tone"
"38","GPT-4 Vision","drop","P6",44,0.704977272727273,0.568181818181818,0.81875,0.0773477466689844,0,0.25,0.966535575253581,0.888809523809524,1,0.496091720779221,0,1,0.0773477466689844,0,0.25,0.200253548650467,0.1,0.428571428571429,0.521941660961283,0.454545454545455,0.620698529411765,"V-VI","skin_tone"
"39","GPT-4 Vision","drop","P7",161,0.577086956521739,0.496894409937888,0.652173913043478,0.579866234030001,0.422222222222222,0.738270308123249,0.576137998709039,0.483035979779958,0.661290322580645,0.331877676196452,0.230722891566265,0.447474533106961,0.579866234030001,0.422222222222222,0.738270308123249,0.420145432936443,0.303001715265866,0.532258064516129,0.57800211636952,0.48519312667549,0.672567103060737,"V-VI","skin_tone"
"40","GPT-4 Vision","drop","P8",190,0.495010526315789,0.426315789473684,0.568421052631579,0.510171573892795,0.375,0.658739837398374,0.490239494751445,0.410063199440448,0.573335664335664,0.236294133072862,0.159947368421053,0.325854523950325,0.510171573892795,0.375,0.658739837398374,0.321507043718559,0.229484777517564,0.419598155467721,0.50020553432212,0.417871615179252,0.591649723727559,"V-VI","skin_tone"
"41","Gemini Pro Vision","drop","P1",204,0.770348039215686,0.705882352941177,0.823529411764706,0.284605729844257,0.161275921658986,0.416704545454545,0.91216781324014,0.865017811201267,0.952102936983176,0.486183029799211,0.299907407407407,0.666666666666667,0.284605729844257,0.161275921658986,0.416704545454545,0.355847278174912,0.21330303030303,0.493834422657952,0.598386771542199,0.531893126164985,0.670419719169719,"I-II","skin_tone"
"42","Gemini Pro Vision","drop","P2",204,0.788867647058824,0.730392156862745,0.843137254901961,0.195893129067997,0.0908585858585859,0.32,0.962127349111937,0.929020737327189,0.987654320987654,0.603484100666649,0.333333333333333,0.846153846153846,0.195893129067997,0.0908585858585859,0.32,0.292159623455147,0.148148148148148,0.444444444444444,0.579010239089967,0.522927689594356,0.642569580928579,"I-II","skin_tone"
"43","Gemini Pro Vision","drop","P3",203,0.683285714285714,0.620689655172414,0.74384236453202,0.598985383354861,0.444391025641026,0.738121118012422,0.70731233989899,0.63634960718294,0.777777777777778,0.367865764638333,0.263157894736842,0.471467181467181,0.598985383354861,0.444391025641026,0.738121118012422,0.453659604418553,0.344809047089359,0.554645191409897,0.653148861626925,0.57035468536611,0.73084369344503,"I-II","skin_tone"
"44","Gemini Pro Vision","drop","P4",203,0.705226600985222,0.645320197044335,0.768472906403941,0.482949642134865,0.346919152276295,0.63265306122449,0.770075720025212,0.70420036347115,0.832258064516129,0.379400579825599,0.259243295019157,0.508771929824561,0.482949642134865,0.346919152276295,0.63265306122449,0.422582079318291,0.30608843537415,0.540578428896186,0.626512681080038,0.549572139784845,0.707750339059674,"I-II","skin_tone"
"45","Gemini Pro Vision","drop","P5",204,0.71168137254902,0.651960784313726,0.769607843137255,0.652740209778977,0.51219512195122,0.795466141001855,0.72881332901022,0.662032392894462,0.792704563335956,0.412062789526773,0.3,0.525657894736842,0.652740209778977,0.51219512195122,0.795466141001855,0.503149988105605,0.392098703888335,0.611155913978495,0.690776769394599,0.615177555194199,0.76797385620915,"I-II","skin_tone"
