"","FST","column","Accuracy_mean","Accuracy_lower","Accuracy_upper","Sensitivity_mean","Sensitivity_lower","Sensitivity_upper","Specificity_mean","Specificity_lower","Specificity_upper","Precision_mean","Precision_lower","Precision_upper","Recall_mean","Recall_lower","Recall_upper","F1_mean","F1_lower","F1_upper","Balanced.Accuracy_mean","Balanced.Accuracy_lower","Balanced.Accuracy_upper","Model"
"1","12","one_word_expert",0.702010050251256,0.635552763819095,0.768844221105528,0.530182291447889,0.384586557059961,0.666666666666667,0.752227779327564,0.675139578163772,0.820979532163743,0.385689416304581,0.2611872909699,0.519296296296296,0.530182291447889,0.384586557059961,0.666666666666667,0.444028378583578,0.318805769465835,0.557997341603899,0.641205035387727,0.556606751232287,0.716754151743479,"Gemini Pro Vision"
"2","12","one_word_expert",0.569421319796954,0.50253807106599,0.634517766497462,0.603478510124596,0.46765625,0.75,0.559370708726259,0.483429837259289,0.637607438662291,0.287686811370211,0.197096789118164,0.376440144014401,0.603478510124596,0.46765625,0.75,0.387919941048224,0.284700772200772,0.488392857142857,0.581424609425427,0.502693322041485,0.665204664690424,"GPT-4 Turbo Vision"
"3","34","one_word_expert",0.65514953271028,0.591004672897196,0.714953271028037,0.478819943519128,0.355443371378402,0.595882740447958,0.740093088669194,0.676056338028169,0.801422743755036,0.470162802489661,0.355358119190815,0.578947368421053,0.478819943519128,0.355443371378402,0.595882740447958,0.472872059808504,0.361001461988304,0.5678194466656,0.609456516094161,0.537967429861292,0.674621367158809,"Gemini Pro Vision"
"4","34","one_word_expert",0.626116071428571,0.558035714285714,0.691964285714286,0.603288271809496,0.491083099906629,0.714285714285714,0.635882425261172,0.559210526315789,0.701996096157797,0.419012537137029,0.313106796116505,0.510996376811594,0.603288271809496,0.491083099906629,0.714285714285714,0.493076628645309,0.392934782608696,0.57991372053872,0.619585348535334,0.548751257165845,0.686552861056616,"GPT-4 Turbo Vision"
"5","56","one_word_expert",0.61805,0.54375,0.68453125,0.338578846920481,0.2,0.488373983739837,0.706443251792301,0.625516304347826,0.782613636363636,0.266673619090752,0.156176470588235,0.389618456078083,0.338578846920481,0.2,0.488373983739837,0.295916812020594,0.172242841993637,0.411503573391974,0.522511049356391,0.44103915650086,0.601958196721311,"Gemini Pro Vision"
"6","56","one_word_expert",0.488494949494949,0.414141414141414,0.568308080808081,0.527652127184165,0.386645299145299,0.680851063829787,0.476317028860561,0.387722222222222,0.564539627039627,0.236941874652142,0.161102875112309,0.328623831775701,0.527652127184165,0.386645299145299,0.680851063829787,0.325661896425201,0.233666698265238,0.426343430369788,0.501984578022363,0.420448369565217,0.596167567907445,"GPT-4 Turbo Vision"
"7","12","one_word_standard",0.662497237569061,0.591160220994475,0.734806629834254,0.648641274682429,0.50484693877551,0.781601272534464,0.666960222852279,0.590909468438538,0.747543103448276,0.392044207638513,0.283757140224802,0.5,0.648641274682429,0.50484693877551,0.781601272534464,0.486670801042297,0.371563088512241,0.592640677966102,0.657800748767354,0.574341443776757,0.735678642455365,"Gemini Pro Vision"
"8","12","one_word_standard",0.634857142857143,0.565217391304348,0.717546583850932,0.500627139616249,0.355806938159879,0.6625,0.676099577702072,0.592535569105691,0.761935687263556,0.321787439118632,0.196428571428571,0.441145833333333,0.500627139616249,0.355806938159879,0.6625,0.38914774404175,0.260758596242467,0.507814275971812,0.588363358659161,0.504887245624854,0.677071755300958,"GPT-4 Turbo Vision"
"9","34","one_word_standard",0.605755102040816,0.538137755102041,0.68125,0.591478975025388,0.465680751173709,0.699246031746032,0.613191429654753,0.530997596153846,0.707563117110361,0.449066782078275,0.34340034965035,0.559836924868957,0.591478975025388,0.465680751173709,0.699246031746032,0.50901608734464,0.408299798792757,0.605560366155369,0.60233520234007,0.529607843587009,0.677971385958674,"Gemini Pro Vision"
"10","34","one_word_standard",0.626057471264368,0.554454022988506,0.695402298850575,0.462676768324944,0.330151515151515,0.613893249607535,0.691765618292809,0.613782390269699,0.768595041322314,0.376399529899064,0.257145782145782,0.512705570291777,0.462676768324944,0.330151515151515,0.613893249607535,0.412818350682647,0.296296296296296,0.537916188289323,0.577221193308876,0.497701934683067,0.660197171500179,"GPT-4 Turbo Vision"
"11","56","one_word_standard",0.531259259259259,0.451851851851852,0.614814814814815,0.541199090563024,0.370873015873016,0.7,0.528107979747926,0.435554574874963,0.625613317757009,0.270588851079444,0.172413793103448,0.380172413793103,0.541199090563024,0.370873015873016,0.7,0.358417278929483,0.233857729138167,0.476190476190476,0.534653535155475,0.430983206679801,0.631141774891775,"Gemini Pro Vision"
"12","56","one_word_standard",0.56397385620915,0.483660130718954,0.647058823529412,0.56768102024673,0.4,0.743902802623733,0.56295170645432,0.472576950608447,0.646398347107438,0.275773990689009,0.171428571428571,0.386945628997868,0.56768102024673,0.4,0.743902802623733,0.368762506321607,0.244798500468604,0.483793859649123,0.565316363350525,0.467352396303679,0.661732155583575,"GPT-4 Turbo Vision"
