FST,column,Accuracy_mean,Accuracy_lower,Accuracy_upper,Sensitivity_mean,Sensitivity_lower,Sensitivity_upper,Specificity_mean,Specificity_lower,Specificity_upper,Precision_mean,Precision_lower,Precision_upper,Recall_mean,Recall_lower,Recall_upper,F1_mean,F1_lower,F1_upper,Balanced.Accuracy_mean,Balanced.Accuracy_lower,Balanced.Accuracy_upper,Accuracy,Sensitivity,Specificity,Precision,Recall,F1,Balanced.Accuracy,Model,Prompt
12,one_word_P1,0.6641049723756907,0.5911602209944752,0.7348066298342542,0.6453330154067785,0.4893498817966903,0.7872900335946248,0.6704800545585465,0.5912325812873258,0.7536231884057971,0.3929915738137139,0.27998529411764705,0.5085675899131872,0.6453330154067785,0.4893498817966903,0.7872900335946248,0.48628116419557454,0.3709168493579706,0.5920305084745764,0.6579065349826625,0.5691812984164959,0.74069374752299,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P1
34,one_word_P1,0.6030765306122449,0.5357142857142857,0.673469387755102,0.5902526419238447,0.4745762711864407,0.7077083333333334,0.610131834097273,0.5220325630252102,0.6935483870967742,0.44645201905844323,0.34408602150537637,0.5494897959183673,0.5902526419238447,0.4745762711864407,0.7077083333333334,0.5065800087640684,0.4102112676056338,0.6038108242303872,0.6001922380105589,0.5274797518865316,0.6724703845380366,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P1
56,one_word_P1,0.5340148148148148,0.45185185185185184,0.6148148148148148,0.541890845554468,0.37142857142857144,0.7273341523341523,0.5316000744632401,0.42857142857142855,0.6273051948051949,0.27060777652277257,0.16922077922077924,0.37708241027913153,0.541890845554468,0.37142857142857144,0.7273341523341523,0.3585743524508665,0.23910455486542448,0.47374686716791975,0.536745460008854,0.44731576144306556,0.635088399503722,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P1
12,one_word_P2,0.7034120603015075,0.6432160804020101,0.7638190954773869,0.5375708936648356,0.3870347394540943,0.675,0.7517363546589736,0.6855258560447238,0.8176243567753002,0.38661593119766036,0.2592432950191571,0.5082111015243025,0.5375708936648356,0.3870347394540943,0.675,0.44746942921471966,0.3207358490566038,0.5601025641025641,0.6446536241619046,0.5624572267742688,0.7226217413139753,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P2
34,one_word_P2,0.6550140186915888,0.5887850467289719,0.7149532710280374,0.4773248955399311,0.36,0.5882615546218487,0.7387702649268991,0.6599383561643836,0.80953219315895375,0.4629497711947681,0.34779710144927534,0.5774647887323944,0.4773248955399311,0.36,0.5882615546218487,0.4682439783269051,0.3650764685436218,0.5616438356164384,0.6080475802334151,0.5414910768320663,0.6711903612162304,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P2
56,one_word_P2,0.62013125,0.54375,0.69375,0.3479171944788511,0.19510501355013551,0.5,0.7057789435335964,0.6270928518791452,0.78335,0.2706124519113657,0.15091981132075472,0.39217436974789915,0.3479171944788511,0.19510501355013551,0.5,0.3019343316362667,0.16867469879518074,0.42357947434292864,0.5268480690062237,0.43829361844516085,0.6150805054228852,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P2
12,one_word_P3,0.6579950248756219,0.5920398009950248,0.7263681592039801,0.5829775266854856,0.4389358772619984,0.7209625322997416,0.6796552923566564,0.6013502473061296,0.7517150199643191,0.3454350791462394,0.24050632911392406,0.4546103896103895,0.5829775266854856,0.4389358772619984,0.7209625322997416,0.43171512916743554,0.3157378740970072,0.5486881465785864,0.631316409521071,0.5507560420912497,0.7103941993464052,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P3
12,one_word_P3,0.769,0.6153846153846154,0.8974358974358975,0.19565446835586153,0,0.5,0.9650021194999069,0.8888888888888888,1,0.662447173138997,0,1,0.19565446835586153,0,0.5,0.33002832306052093,0.13333333333333333,0.625,0.5803282939278842,0.4660197245127436,0.7274098746081503,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P3
34,one_word_P3,0.7061333333333333,0.6488888888888888,0.7644444444444445,0.7149742632044069,0.6110677083333333,0.8194501366120218,0.7020985860270178,0.6274479356960175,0.7756410256410257,0.5199446120943539,0.41485781505728314,0.6153846153846154,0.7149742632044069,0.6110677083333333,0.8194501366120218,0.6005698218041247,0.5097976770325965,0.6813311688311688,0.7085364246157124,0.6432955024171715,0.7705375906732103,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P3
34,one_word_P3,0.8425333333333334,0.7333333333333333,0.9555555555555556,0,0,0,0.9752205671046783,0.918918918918919,1,0,0,0,0,0,0,NA,NA,NA,0.48760643619425525,0.4594594594594595,0.5,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P3
56,one_word_P3,0.5349318181818182,0.4602272727272727,0.6022727272727273,0.4882753367544473,0.3333333333333333,0.6500290697674419,0.5492761896419156,0.46715328467153283,0.6277414700390426,0.24614615880211282,0.159398197242842,0.34092294900221726,0.4882753367544473,0.3333333333333333,0.6500290697674419,0.32539186590039093,0.22018348623853212,0.426257531175564,0.5187757631981814,0.43233957219251334,0.6109523564694177,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P3
56,one_word_P3,0.8542941176470588,0.7352941176470589,0.9705882352941176,0.20717571506649668,0,0.6666666666666666,0.9663480071179871,0.8927579365079366,1,0.5106129398410897,0,1,0.20717571506649668,0,0.6666666666666666,0.40476912222642775,0.18181818181818182,0.764423076923077,0.5867723477196735,0.46153846153846156,0.8172043010752688,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P3
12,one_word_P4,0.7142857142857143,0.6502463054187192,0.7735221674876847,0.4775865375006754,0.3404255319148936,0.6230020491803279,0.7839507589685389,0.7222222222222222,0.8445945945945946,0.39356572414577784,0.2741568914956012,0.5272984562607204,0.4775865375006754,0.3404255319148936,0.6230020491803279,0.4290746303201332,0.30905594405594405,0.542096905906905,0.6307686482346072,0.5544942876344087,0.7112695592816886,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P4
12,one_word_P4,0.6468288288288289,0.5585585585585585,0.7297297297297297,0.3413672377314249,0.17227011494252875,0.5003205128205125,0.7721710409318487,0.6708860759493671,0.8642389340560072,0.3811816583139429,0.2,0.5714285714285714,0.3413672377314249,0.17227011494252875,0.5003205128205125,0.35647430153656084,0.18867924528301888,0.5122280817402769,0.5567691393316369,0.46141541747259834,0.6553621751025992,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P4
34,one_word_P4,0.7483185840707964,0.6945796460176991,0.8008849557522124,0.6700287354863467,0.561617891241179,0.774656690140845,0.7828195365494931,0.717102159880834,0.8424926686217008,0.5758703496911493,0.46986092518221034,0.6842481203007519,0.6700287354863467,0.561617891241179,0.774656690140845,0.6177924555376353,0.5228473998294969,0.7019867549668874,0.7264241360179199,0.6623029459251245,0.7872574672560033,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P4
34,one_word_P4,0.68565,0.6071428571428571,0.7644642857142855,0.3166911145003068,0.17491071428571428,0.46349593495934954,0.8379547795862367,0.7623762376237624,0.9081632653061225,0.44676395873929714,0.26666666666666666,0.6334090909090908,0.3166911145003068,0.17491071428571428,0.46349593495934954,0.36739277512636603,0.21873579545454544,0.5185425685425686,0.5773229470432717,0.4982793367346939,0.6651278409090908,NA,NA,NA,NA,NA,NA,NA,GPT-4 with Vision,P4
56,one_word_P4,0.6447888888888889,0.5722222222222222,0.7112499999999999,0.3426909047328572,0.2,0.48783197831978314,0.7345830756824471,0.6590565893837705,0.8059701492537313,0.27654242589425637,0.16279069767441862,0.3966379310344827,0.3426909047328572,0.2,0.48783197831978314,0.3037664027165943,0.1874636627906977,0.42554176516942477,0.5386369902076521,0.4606905882080282,0.6190407889588995,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision,P4
