FST,column,Accuracy_mean,Accuracy_lower,Accuracy_upper,Sensitivity_mean,Sensitivity_lower,Sensitivity_upper,Specificity_mean,Specificity_lower,Specificity_upper,Precision_mean,Precision_lower,Precision_upper,Recall_mean,Recall_lower,Recall_upper,F1_mean,F1_lower,F1_upper,Balanced.Accuracy_mean,Balanced.Accuracy_lower,Balanced.Accuracy_upper,model,Model,Prompt
12,one_word_P1,0.7705343137254902,0.7058823529411765,0.8333333333333334,0.2793049851800909,0.1509433962264151,0.41464565117349284,0.9124910655205348,0.8692377613296974,0.954845947063689,0.479273087641981,0.29151785714285716,0.6800454545454545,0.2793049851800909,0.1509433962264151,0.41464565117349284,0.3497959627857716,0.207744461420932,0.4931814683700169,0.5958980253503129,0.52780516234131,0.6698398328824975,Gemini-Pro-Vision,Gemini Pro Vision,P1
34,one_word_P1,0.7285840707964601,0.672566371681416,0.7876106194690266,0.41225093887937003,0.30299422799422804,0.5333561643835616,0.8668640526951357,0.8136563146997929,0.9146441096763909,0.574743217485394,0.43898628048780486,0.7059436274509804,0.41225093887937003,0.30299422799422804,0.5333561643835616,0.4781307514135599,0.3635971786833856,0.5864661654135338,0.6395574957872528,0.5784162812289521,0.7008522003614399,Gemini-Pro-Vision,Gemini Pro Vision,P1
56,one_word_P1,0.7088603351955307,0.6424581005586593,0.776536312849162,0.19570994951164097,0.07894736842105263,0.3226043643263757,0.8600696914874805,0.8031412886769436,0.9154929577464789,0.29137268356956997,0.13029891304347826,0.4723214285714285,0.19570994951164097,0.07894736842105263,0.3226043643263757,0.2315054512499922,0.10165254237288136,0.37289265536723165,0.5278898204995607,0.464162595284284,0.5995533935468073,Gemini-Pro-Vision,Gemini Pro Vision,P1
12,one_word_P2,0.7891078431372549,0.7303921568627451,0.8431372549019608,0.1946329206942292,0.08888888888888889,0.31710088691796007,0.9619210728732874,0.928142734139564,0.9876543209876543,0.5974951983167618,0.3125,0.8461538461538461,0.1946329206942292,0.08888888888888889,0.31710088691796007,0.2904110347083722,0.14538961038961037,0.4444444444444444,0.5782769967837583,0.5219477056055397,0.6407011545898246,Gemini-Pro-Vision,Gemini Pro Vision,P2
34,one_word_P2,0.7532280701754386,0.7016447368421052,0.8070175438596491,0.3694026334552969,0.25636363636363635,0.4838954056695992,0.9234412246974633,0.881578947368421,0.9617894864145772,0.6814623143602586,0.5347928779069767,0.8205128205128205,0.3694026334552969,0.25636363636363635,0.4838954056695992,0.4767548235557826,0.3578362573099415,0.5862576064908721,0.6464219290763801,0.5886112860742099,0.704412633449268,Gemini-Pro-Vision,Gemini Pro Vision,P2
56,one_word_P2,0.7489553072625699,0.6815642458100558,0.8100558659217877,0.16961610903017646,0.06246811224489796,0.2820652173913043,0.9205990225392441,0.8741245791245791,0.9632420030055818,0.38814592128716047,0.16666666666666666,0.631578947368421,0.16961610903017646,0.06246811224489796,0.2820652173913043,0.23309228971953525,0.0851063829787234,0.36925925925925923,0.5451075657847103,0.48803725223109984,0.6047690831851862,Gemini-Pro-Vision,Gemini Pro Vision,P2
12,one_word_P3,0.6851231527093596,0.6206896551724138,0.7487684729064039,0.6026231733831122,0.4583333333333333,0.7441860465116279,0.7086123543752378,0.633943706514864,0.7770281029437079,0.37252552032953246,0.25923845193508116,0.4852941176470588,0.6026231733831122,0.4583333333333333,0.7441860465116279,0.4583339411849399,0.34231091556672943,0.5625504032258063,0.655617763879175,0.5775429731850664,0.7323401162790697,Gemini-Pro-Vision,Gemini Pro Vision,P3
34,one_word_P3,0.7073672566371682,0.6460176991150443,0.7654867256637168,0.7275630300909943,0.6183451417004049,0.830208610151475,0.6984330293645641,0.6217779503105589,0.7687085459183673,0.5202319967310625,0.4205467289719626,0.6100725806451612,0.7275630300909943,0.6183451417004049,0.830208610151475,0.6051808031315237,0.518975621190811,0.6826347305389221,0.7129980297277793,0.6477672575879666,0.7720736815268064,Gemini-Pro-Vision,Gemini Pro Vision,P3
56,one_word_P3,0.5723409090909091,0.5,0.6477272727272727,0.5336961474897988,0.3792615484710475,0.6907142857142855,0.5844140420237026,0.5034574468085106,0.6666666666666666,0.2815897250975284,0.18666666666666668,0.38278670236501555,0.5336961474897988,0.3792615484710475,0.6907142857142855,0.3665645132343225,0.25856542882404954,0.475464888671397,0.5590550947567507,0.4732533512683059,0.6490267639902676,Gemini-Pro-Vision,Gemini Pro Vision,P3
12,one_word_P4,0.7045665024630542,0.6403940886699507,0.7684729064039408,0.4782866143066524,0.34089700193423594,0.613646331738437,0.7708809802172465,0.704373097991479,0.84,0.37993084601315597,0.2542372881355932,0.5001811594202897,0.4782866143066524,0.34089700193423594,0.613646331738437,0.421218034698371,0.30434782608695654,0.5333620689655172,0.6245837972619495,0.5452929734438837,0.701766328658393,Gemini-Pro-Vision,Gemini Pro Vision,P4
34,one_word_P4,0.7430088495575221,0.6858407079646017,0.8008849557522124,0.6534563748650559,0.5384615384615384,0.7627617148554336,0.7826021794599263,0.7218459217034119,0.8421052631578947,0.5703316041267965,0.4675324675324675,0.6747144421843216,0.6534563748650559,0.5384615384615384,0.7627617148554336,0.6075571424909568,0.5146953781512604,0.6968104600114524,0.7180292771624911,0.6539430400955909,0.7821531235051987,Gemini-Pro-Vision,Gemini Pro Vision,P4
56,one_word_P4,0.6349438202247191,0.5617977528089888,0.7023876404494381,0.34087323560460836,0.2,0.5,0.7230141354358407,0.6413753619373519,0.7941176470588235,0.26963522557036856,0.1480808080808081,0.4,0.34087323560460836,0.2,0.5,0.2988866566985756,0.1771804145221867,0.42602544132917963,0.5319436855202245,0.4478203386287625,0.6195764986265674,Gemini-Pro-Vision,Gemini Pro Vision,P4
12,one_word_P5,0.7112205882352941,0.6519607843137255,0.7696078431372549,0.6541288959131895,0.5135135135135135,0.7843487394957983,0.7277671021609979,0.6558387804248731,0.7931196120689655,0.40951111681667657,0.30133561643835616,0.5246333045729077,0.6541288959131895,0.5135135135135135,0.7843487394957983,0.5015428613320333,0.393679696287964,0.6060730253353204,0.6909479990370937,0.6176710501238803,0.7625135943217237,Gemini-Pro-Vision,Gemini Pro Vision,P5
34,one_word_P5,0.7270833333333333,0.6666666666666666,0.7850877192982456,0.714584882609212,0.6060499359795135,0.8235760971055088,0.7327520868314616,0.6588125685056632,0.803686996270901,0.5426497387945578,0.4444128787878788,0.644451754385965,0.714584882609212,0.6060499359795135,0.8235760971055088,0.6153142083855749,0.5257124542124544,0.7006369426751594,0.7236684847203368,0.6593072367684527,0.7858827429597788,Gemini-Pro-Vision,Gemini Pro Vision,P5
