FST,column,Accuracy_mean,Accuracy_lower,Accuracy_upper,Sensitivity_mean,Sensitivity_lower,Sensitivity_upper,Specificity_mean,Specificity_lower,Specificity_upper,Precision_mean,Precision_lower,Precision_upper,Recall_mean,Recall_lower,Recall_upper,F1_mean,F1_lower,F1_upper,Balanced.Accuracy_mean,Balanced.Accuracy_lower,Balanced.Accuracy_upper,Accuracy,Sensitivity,Specificity,Precision,Recall,F1,Balanced.Accuracy,Model
12,one_word_expert_simple,0.703814070351759,0.638190954773869,0.763819095477387,0.534320336848407,0.384558823529412,0.680021276595745,0.752978783091329,0.682742635304864,0.817610062893082,0.38486817389708,0.266666666666667,0.507468427095293,0.534320336848407,0.384558823529412,0.680021276595745,0.445033681014645,0.326519520851819,0.557384930643127,0.643649559969868,0.560807637587539,0.722004479283315,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
34,one_word_expert_simple,0.652570093457944,0.588785046728972,0.715070093457944,0.475381927045521,0.360594568142892,0.6,0.736136415895598,0.664382364211131,0.805555555555556,0.459916098722062,0.338703473945409,0.576301026497971,0.475381927045521,0.360594568142892,0.6,0.465936780627904,0.355512820512821,0.565823841319717,0.605759171470559,0.539773478870893,0.678466716472868,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
56,one_word_expert_simple,0.6201125,0.54375,0.69375,0.343838683044694,0.195121951219512,0.5,0.70613786217675,0.629303392658509,0.788639281129653,0.267024528524662,0.145833333333333,0.4,0.343838683044694,0.195121951219512,0.5,0.298205829623401,0.172735385988398,0.419097744360902,0.524988272610722,0.4359934169279,0.614061067436414,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
12,one_word_standard_simple,0.663436464088398,0.591160220994475,0.734806629834254,0.646004919502045,0.499709302325581,0.782638072855464,0.669217523374498,0.589147286821705,0.748093016680803,0.391093768374348,0.279944444444444,0.5,0.646004919502045,0.499709302325581,0.782638072855464,0.48513917951772,0.366937950083851,0.58734772978959,0.657611221438272,0.573259725686788,0.738451505472607,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
34,one_word_standard_simple,0.602964285714286,0.535586734693878,0.668367346938776,0.590518708036104,0.474530046224962,0.710566188197767,0.609461970808639,0.52537407309322,0.691073720887585,0.445081932803407,0.343685661764706,0.542553191489362,0.590518708036104,0.474530046224962,0.710566188197767,0.506036499900936,0.411347517730496,0.594944243520193,0.599990339422372,0.531107742501185,0.671970933147542,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
56,one_word_standard_simple,0.5314,0.451666666666667,0.614814814814815,0.538437254459693,0.379202586206897,0.710526315789474,0.529114048219418,0.429838490155158,0.625029205607477,0.27054344443403,0.169230769230769,0.383587987355111,0.538437254459693,0.379202586206897,0.710526315789474,0.35779590106072,0.238056835637481,0.482225208044383,0.533775651339556,0.439616721378978,0.629706908489671,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
12,one_word_expert_eng,0.56946192893401,0.50253807106599,0.639593908629442,0.597519920384184,0.448979591836735,0.736842105263158,0.561256100745663,0.476168430335097,0.638161394176932,0.28756807857391,0.2,0.373737373737374,0.597519920384184,0.448979591836735,0.736842105263158,0.386553504586707,0.287718396711202,0.48277019208516597,0.579388010564924,0.502848957886856,0.658085914914392,NA,NA,NA,NA,NA,NA,NA,GPT-4 Turbo Vision
12,one_word_expert_eng,0.730524509803922,0.666666666666667,0.794117647058823,0.567983667361874,0.415094339622642,0.711111111111111,0.777417652322084,0.709090909090909,0.845702681208816,0.424339181812709,0.298196881091618,0.555595238095238,0.567983667361874,0.415094339622642,0.711111111111111,0.483415662713509,0.357894736842105,0.602019254303663,0.672700659841979,0.589879790967903,0.750533485155196,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
34,one_word_expert_eng,0.625611607142857,0.5625,0.683035714285714,0.603419184924617,0.491211519364449,0.710179765886288,0.63524367621770494,0.559729872260635,0.703237753882915,0.419395828539768,0.33325,0.516129032258065,0.603419184924617,0.491211519364449,0.710179765886288,0.493426042147831,0.402452830188679,0.583804573804574,0.619331430571161,0.548571243109081,0.680935081294478,NA,NA,NA,NA,NA,NA,NA,GPT-4 Turbo Vision
34,one_word_expert_eng,0.727101321585903,0.673898678414097,0.784140969162996,0.58136103627442,0.465716731898239,0.702713260135135,0.790157893377415,0.731536283557047,0.853683352240499,0.545320691937177,0.430334538878843,0.661976589265322,0.58136103627442,0.465716731898239,0.702713260135135,0.561109940512839,0.461504424778761,0.658692841589548,0.685759464825918,0.619937706000067,0.753919772855893,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
56,one_word_expert_eng,0.489671717171717,0.419191919191919,0.565656565656566,0.531675074714295,0.395269037847697,0.674433139534884,0.476449622383468,0.401234567901235,0.56168501820704,0.241105724551278,0.165132885652133,0.319170212765957,0.531675074714295,0.395269037847697,0.674433139534884,0.33044547090313803,0.23609068627451,0.423076923076923,0.504062348548882,0.425689987404358,0.587390865244126,NA,NA,NA,NA,NA,NA,NA,GPT-4 Turbo Vision
56,one_word_expert_eng,0.667233333333333,0.594444444444444,0.733333333333333,0.370301979755896,0.23526282853567,0.512878787878788,0.754945092710079,0.682161733615222,0.829787234042553,0.309005130150139,0.178518907563025,0.442307692307692,0.370301979755896,0.23526282853567,0.512878787878788,0.334471141511742,0.205863499245852,0.461538461538462,0.562623536232987,0.481251336898396,0.645640219869371,NA,NA,NA,NA,NA,NA,NA,Gemini Pro Vision
