"","Model_Prompt","Accuracy_12","Accuracy_34","Accuracy_56","Balanced.Accuracy_12","Balanced.Accuracy_34","Balanced.Accuracy_56","F1_12","F1_34","F1_56","Precision_12","Precision_34","Precision_56","Recall_12","Recall_34","Recall_56","Sensitivity_12","Sensitivity_34","Sensitivity_56","Specificity_12","Specificity_34","Specificity_56"
"1","Gemini Pro - P2","0.704 (+/-0.07)","0.653 (+/-0.06)","0.62 (+/-0.08)","0.644 (+/-0.08)","0.606 (+/-0.07)","0.525 (+/-0.09)","0.445 (+/-0.12)","0.466 (+/-0.11)","0.298 (+/-0.12)","0.385 (+/-0.12)","0.46 (+/-0.12)","0.267 (+/-0.12)","0.534 (+/-0.15)","0.475 (+/-0.11)","0.344 (+/-0.15)","0.534 (+/-0.15)","0.475 (+/-0.11)","0.344 (+/-0.15)","0.753 (+/-0.07)","0.736 (+/-0.07)","0.706 (+/-0.08)"
"2","Gemini Pro - P1","0.663 (+/-0.07)","0.603 (+/-0.07)","0.531 (+/-0.08)","0.658 (+/-0.09)","0.6 (+/-0.07)","0.534 (+/-0.09)","0.485 (+/-0.12)","0.506 (+/-0.1)","0.358 (+/-0.12)","0.391 (+/-0.11)","0.445 (+/-0.1)","0.271 (+/-0.1)","0.646 (+/-0.15)","0.591 (+/-0.12)","0.538 (+/-0.16)","0.646 (+/-0.15)","0.591 (+/-0.12)","0.538 (+/-0.16)","0.669 (+/-0.08)","0.609 (+/-0.08)","0.529 (+/-0.1)"
"3","GPT-4 - P4","0.569 (+/-0.07)","0.626 (+/-0.06)","0.49 (+/-0.07)","0.579 (+/-0.08)","0.619 (+/-0.07)","0.504 (+/-0.08)","0.387 (+/-0.1)","0.493 (+/-0.09)","0.33 (+/-0.09)","0.288 (+/-0.09)","0.419 (+/-0.09)","0.241 (+/-0.08)","0.598 (+/-0.15)","0.603 (+/-0.11)","0.532 (+/-0.14)","0.598 (+/-0.15)","0.603 (+/-0.11)","0.532 (+/-0.14)","0.561 (+/-0.09)","0.635 (+/-0.07)","0.476 (+/-0.07)"
"4","Gemini Pro - P4","0.731 (+/-0.06)","0.727 (+/-0.05)","0.667 (+/-0.07)","0.673 (+/-0.08)","0.686 (+/-0.07)","0.563 (+/-0.08)","0.483 (+/-0.12)","0.561 (+/-0.1)","0.334 (+/-0.13)","0.424 (+/-0.13)","0.545 (+/-0.12)","0.309 (+/-0.13)","0.568 (+/-0.15)","0.581 (+/-0.11)","0.37 (+/-0.14)","0.568 (+/-0.15)","0.581 (+/-0.11)","0.37 (+/-0.14)","0.777 (+/-0.07)","0.79 (+/-0.06)","0.755 (+/-0.07)"
"5","GPT-4 - P3","0.634 (+/-0.07)","0.626 (+/-0.07)","0.561 (+/-0.08)","0.588 (+/-0.09)","0.575 (+/-0.08)","0.565 (+/-0.09)","0.39 (+/-0.12)","0.41 (+/-0.12)","0.372 (+/-0.11)","0.323 (+/-0.11)","0.376 (+/-0.13)","0.278 (+/-0.1)","0.501 (+/-0.15)","0.456 (+/-0.14)","0.572 (+/-0.16)","0.501 (+/-0.15)","0.456 (+/-0.14)","0.572 (+/-0.16)","0.675 (+/-0.09)","0.694 (+/-0.08)","0.557 (+/-0.09)"
"6","Gemini Pro - P3","0.695 (+/-0.06)","0.719 (+/-0.06)","0.599 (+/-0.07)","0.679 (+/-0.08)","0.723 (+/-0.07)","0.578 (+/-0.09)","0.486 (+/-0.13)","0.616 (+/-0.09)","0.379 (+/-0.13)","0.392 (+/-0.12)","0.534 (+/-0.1)","0.295 (+/-0.1)","0.649 (+/-0.16)","0.731 (+/-0.11)","0.539 (+/-0.16)","0.649 (+/-0.16)","0.731 (+/-0.11)","0.539 (+/-0.16)","0.708 (+/-0.07)","0.714 (+/-0.07)","0.616 (+/-0.08)"
